"Phi","Points:0","Points:1","Points:2"
1,0,0,0
1,25.6,0,0
1,51.2,0,0
1,76.8,0,0
1,102.4,0,0
1,128,0,0
1,153.6,0,0
1,179.2,0,0
1,204.8,0,0
1,230.4,0,0
1,256,0,0
1,281.6,0,0
1,307.2,0,0
1,332.8,0,0
1,358.4,0,0
1,384,0,0
1,409.6,0,0
1,435.2,0,0
1,460.8,0,0
1,486.4,0,0
1,512,0,0
1,537.6,0,0
1,0,25.6,0
1,25.6,25.6,0
1,51.2,25.6,0
1,76.8,25.6,0
1,102.4,25.6,0
1,128,25.6,0
1,153.6,25.6,0
1,179.2,25.6,0
1,204.8,25.6,0
1,230.4,25.6,0
1,256,25.6,0
1,281.6,25.6,0
1,307.2,25.6,0
1,332.8,25.6,0
1,358.4,25.6,0
1,384,25.6,0
1,409.6,25.6,0
1,435.2,25.6,0
1,460.8,25.6,0
1,486.4,25.6,0
1,512,25.6,0
1,537.6,25.6,0
1,0,51.2,0
1,25.6,51.2,0
1,51.2,51.2,0
1,76.8,51.2,0
1,102.4,51.2,0
1,128,51.2,0
1,153.6,51.2,0
1,179.2,51.2,0
1,204.8,51.2,0
1,230.4,51.2,0
1,256,51.2,0
1,281.6,51.2,0
1,307.2,51.2,0
1,332.8,51.2,0
1,358.4,51.2,0
1,384,51.2,0
1,409.6,51.2,0
1,435.2,51.2,0
1,460.8,51.2,0
1,486.4,51.2,0
1,512,51.2,0
1,537.6,51.2,0
1,0,76.8,0
1,25.6,76.8,0
1,51.2,76.8,0
1,76.8,76.8,0
1,102.4,76.8,0
1,128,76.8,0
1,153.6,76.8,0
1,179.2,76.8,0
1,204.8,76.8,0
1,230.4,76.8,0
1,256,76.8,0
1,281.6,76.8,0
1,307.2,76.8,0
1,332.8,76.8,0
1,358.4,76.8,0
1,384,76.8,0
1,409.6,76.8,0
1,435.2,76.8,0
1,460.8,76.8,0
1,486.4,76.8,0
1,512,76.8,0
1,537.6,76.8,0
1,0,102.4,0
1,25.6,102.4,0
1,51.2,102.4,0
1,76.8,102.4,0
1,102.4,102.4,0
1,128,102.4,0
1,153.6,102.4,0
1,179.2,102.4,0
1,204.8,102.4,0
1,230.4,102.4,0
1,256,102.4,0
1,281.6,102.4,0
1,307.2,102.4,0
1,332.8,102.4,0
1,358.4,102.4,0
1,384,102.4,0
1,409.6,102.4,0
1,435.2,102.4,0
1,460.8,102.4,0
1,486.4,102.4,0
1,512,102.4,0
1,537.6,102.4,0
1,0,128,0
1,25.6,128,0
1,51.2,128,0
1,76.8,128,0
1,102.4,128,0
1,128,128,0
1,153.6,128,0
1,179.2,128,0
1,204.8,128,0
1,230.4,128,0
1,256,128,0
1,281.6,128,0
1,307.2,128,0
1,332.8,128,0
1,358.4,128,0
1,384,128,0
1,409.6,128,0
1,435.2,128,0
1,460.8,128,0
1,486.4,128,0
1,512,128,0
1,537.6,128,0
1,0,153.6,0
1,25.6,153.6,0
1,51.2,153.6,0
1,76.8,153.6,0
1,102.4,153.6,0
1,128,153.6,0
1,153.6,153.6,0
1,179.2,153.6,0
1,204.8,153.6,0
1,230.4,153.6,0
1,256,153.6,0
1,281.6,153.6,0
1,307.2,153.6,0
